date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation
"2020-06-13 16:00:00 EDT",1592078400,100.54,102.7,NNE,2,24,,31,0.9,18,,,24100,,,2,,
"2020-06-13 15:00:00 EDT",1592074800,100.56,102.7,NNE,1,17,31,39,3.6,17.5,,,24100,2,,2,,
"2020-06-13 14:00:00 EDT",1592071200,100.58,102.7,N,36,17,37,35,1.4,16.7,,,24100,1.9,,2,,
"2020-06-13 13:00:00 EDT",1592067600,100.59,102.7,NE,4,20,39,33,0.3,16.6,,,24100,1.8,,2,,
"2020-06-13 12:00:00 EDT",1592064000,100.62,102.7,N,1,15,32,36,0.8,15.6,,,24100,1.7,,2,,
"2020-06-13 11:00:00 EDT",1592060400,100.63,102.8,NNW,34,24,,45,2.9,14.6,,,24100,1.5,,2,,
"2020-06-13 10:00:00 EDT",1592056800,100.65,102.8,NW,31,18,30,51,3.3,13.2,,,24100,1.5,,2,,
"2020-06-13 09:00:00 EDT",1592053200,100.65,102.8,N,35,17,28,55,3.7,12.6,,,24100,1.5,,5,,
"2020-06-13 08:00:00 EDT",1592049600,100.61,102.7,NNW,35,10,,58,3.5,11.5,,,24100,1.5,,5,,
"2020-06-13 07:00:00 EDT",1592046000,100.58,102.7,N,36,10,,68,4.1,9.7,,,24100,1.4,,7,,
"2020-06-13 06:00:00 EDT",1592042400,100.53,102.6,NNW,34,14,,72,4.3,9.1,,,24100,1.4,,7,,
"2020-06-13 05:00:00 EDT",1592038800,100.49,102.6,N,35,10,,77,5,8.8,,,24100,1.4,,6,,
"2020-06-13 04:00:00 EDT",1592035200,100.47,102.6,N,0,11,,79,4.9,8.3,,,24100,1.5,,3,,
"2020-06-13 03:00:00 EDT",1592031600,100.42,102.5,N,0,18,,74,4.2,8.5,,,24100,1.6,,1,,
"2020-06-13 02:00:00 EDT",1592028000,100.4,102.5,NNW,35,17,,65,3,9.2,,,24100,1.7,,1,,
"2020-06-13 01:00:00 EDT",1592024400,100.39,102.5,NNW,34,17,,59,2.3,10,,,24100,1.8,,0,,
"2020-06-13 00:00:00 EDT",1592020800,100.36,102.5,NNW,34,12,,64,4.1,10.5,,,24100,1.9,,0,,
"2020-06-12 23:00:00 EDT",1592017200,100.35,102.5,NNW,35,21,,58,3.5,11.4,,,24100,2,,1,,
"2020-06-12 22:00:00 EDT",1592013600,100.32,102.4,N,35,23,,48,1.8,12.4,,,24100,2.1,,1,,
"2020-06-12 21:00:00 EDT",1592010000,100.25,102.4,NW,32,27,,40,0.7,14,,,24100,2.2,,1,,
"2020-06-12 20:00:00 EDT",1592006400,100.23,102.3,NW,31,20,,37,0.7,15.4,,,24100,2.2,,2,,
"2020-06-12 19:00:00 EDT",1592002800,100.19,102.3,NW,32,28,39,38,1.9,16.2,,,24100,2.2,,2,,
"2020-06-12 18:00:00 EDT",1591999200,100.17,102.3,NNW,35,29,41,41,3.4,16.6,,,24100,2.1,,2,,
"2020-06-12 17:00:00 EDT",1591995600,100.15,102.3,NW,31,36,,40,3.5,17.1,,,24100,2.1,,1,,
"2020-06-12 16:00:00 EDT",1591992000,100.13,102.2,NW,33,29,39,48,5.6,16.6,,,24100,2.1,,2,,
"2020-06-12 15:00:00 EDT",1591988400,100.12,102.2,WNW,29,37,,47,6.1,17.4,,,24100,2.1,,2,,
"2020-06-12 14:00:00 EDT",1591984800,100.16,102.3,NW,30,33,,44,4.5,16.8,,,24100,2.2,,1,,
"2020-06-12 13:00:00 EDT",1591981200,100.15,102.2,NW,31,33,45,52,6.4,16.1,,,24100,2.1,,2,,
"2020-06-12 12:00:00 EDT",1591977600,100.15,102.2,NW,31,33,45,48,4.9,15.8,,,24100,2.1,,1,,
"2020-06-12 11:00:00 EDT",1591974000,100.09,102.2,WNW,30,28,41,51,5.4,15.6,,,24100,2.1,,2,,
"2020-06-12 10:00:00 EDT",1591970400,100.06,102.2,WNW,30,32,,53,4.9,14.4,,,24100,2.2,,3,,
"2020-06-12 09:00:00 EDT",1591966800,100.04,102.1,NW,31,35,,55,5,13.7,,,24100,2.2,,8,,
"2020-06-12 08:00:00 EDT",1591963200,100,102.1,NW,31,36,,59,4.9,12.7,,,24100,2.1,,7,,
"2020-06-12 07:00:00 EDT",1591959600,99.92,102,NW,32,29,39,58,4.7,12.8,,,24100,2,,6,,
"2020-06-12 06:00:00 EDT",1591956000,99.84,101.9,WNW,30,32,42,62,5.8,13,,,24100,2.1,,3,,
"2020-06-12 05:00:00 EDT",1591952400,99.78,101.9,WNW,30,31,45,68,8.4,14.2,,,24100,2.3,,1,,
"2020-06-12 04:00:00 EDT",1591948800,99.74,101.8,WNW,29,18,,73,10.2,15,,,24100,2.4,,1,,
"2020-06-12 03:00:00 EDT",1591945200,99.7,101.8,NW,31,34,,64,10,16.7,,,24100,2.4,,6,,
"2020-06-12 02:00:00 EDT",1591941600,99.65,101.7,WNW,28,17,,63,10.9,17.9,,,24100,2.4,,6,,
"2020-06-12 01:00:00 EDT",1591938000,99.64,101.7,W,27,24,,63,11.1,18.2,,,24100,2.5,,7,,
"2020-06-12 00:00:00 EDT",1591934400,99.61,101.7,SW,22,16,,58,10.7,18.9,,,24100,2.5,,1,,
